Time (seconds),CO conc (ppm),Ethylene conc (ppm),Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
450.0,0.0,0.0,1446.67,2103.78,1954.01,2146.61,1507.34,2043.52,2170.43,2233.44,235.39,310.63,2128.15,1810.84,962.42,941.53,2228.33,1784.56
475.0,0.0,0.0,1367.67,2025.6,1868.79,2062.91,1469.32,2004.69,2081.88,2169.23,224.83,294.73,2075.95,1731.24,923.25,929.47,2160.56,1715.58
500.0,0.0,16.67,1357.38,1983.38,1809.25,2006.33,1468.46,1992.27,2035.97,2101.63,206.83,285.43,1969.84,1688.83,941.53,918.01,2097.11,1669.52
525.0,0.0,16.67,1326.18,1970.77,2248.8,2441.78,1739.98,2272.29,2943.73,3189.08,215.65,278.37,2383.85,2098.78,1019.24,1045.59,3002.35,2419.4
550.0,0.0,16.67,1716.47,2446.32,6191.0,6577.18,2669.35,3103.01,7853.72,8023.41,227.56,303.19,5905.97,5045.55,1279.4,1323.05,7139.03,5699.5
575.0,0.0,16.67,2045.64,2963.94,6910.25,7380.97,2775.25,3167.31,8300.42,8524.44,221.26,318.07,6657.18,5602.22,1305.96,1344.37,7666.34,6064.42
600.0,0.0,0.0,2191.44,3237.39,7149.56,7633.89,2816.55,3179.74,8457.66,8678.18,229.43,350.23,6908.85,5759.91,1302.64,1356.54,7898.97,6169.27
625.0,0.0,0.0,2213.25,3295.54,5989.17,6458.61,2377.86,2732.62,6454.65,6587.92,220.75,339.78,6026.29,4908.64,1181.68,1243.27,6215.36,4759.65
650.0,0.0,0.0,1889.93,2832.88,3491.73,3821.96,1754.8,2163.21,3547.66,3700.52,209.37,303.19,3746.5,3011.71,1020.83,1044.4,3727.77,2794.94
675.0,0.0,0.0,1607.13,2461.21,2634.96,2909.19,1576.51,2017.84,2737.64,2869.98,219.56,284.05,2858.67,2320.03,960.47,959.69,2932.56,2197.01
700.0,0.0,10.0,1454.78,2221.03,2280.63,2509.42,1498.51,1957.49,2423.42,2541.59,205.81,282.85,2478.42,2017.13,920.14,954.02,2602.56,1951.68
725.0,0.0,10.0,1369.99,2100.2,2181.29,2383.85,1507.56,1999.77,2419.65,2562.88,213.28,252.47,2363.67,1943.55,937.05,939.59,2589.13,1989.93
750.0,0.0,10.0,1507.56,2240.51,4441.52,4756.11,2173.33,2609.28,5585.21,5763.95,210.39,277.0,4405.96,3719.8,1130.23,1151.85,5251.71,4134.86
775.0,0.0,10.0,1694.62,2505.85,5248.31,5645.53,2330.66,2719.97,6338.69,6545.48,210.22,290.77,5169.25,4311.34,1153.47,1201.46,5988.76,4686.97
800.0,0.0,0.0,1780.95,2681.64,5439.9,5822.0,2339.58,2722.87,6459.05,6661.24,197.68,283.71,5397.34,4449.67,1165.43,1214.54,6118.79,4747.61
825.0,0.0,0.0,1786.6,2719.97,4823.04,5202.65,2106.64,2472.34,5336.23,5504.58,202.42,298.36,4908.28,3970.94,1093.26,1133.06,5215.83,3986.52
850.0,0.0,0.0,1615.46,2469.81,3145.06,3472.8,1687.27,2086.16,3303.31,3460.99,204.28,273.9,3388.83,2687.14,968.69,1004.84,3476.05,2591.45
875.0,0.0,0.0,1447.95,2256.13,2492.88,2750.86,1537.38,1954.7,2662.04,2791.74,199.37,266.18,2702.88,2183.95,931.41,938.61,2840.13,2125.76
900.0,0.0,6.67,1432.19,2132.94,2237.58,2414.63,1469.11,1917.37,2379.11,2507.12,196.16,252.47,2405.1,1952.61,909.28,916.26,2568.53,1921.99
925.0,0.0,6.67,1417.53,2044.93,2039.27,2258.09,1441.13,1890.85,2236.85,2367.9,186.01,240.51,2216.17,1799.95,871.83,907.15,2392.34,1796.78
950.0,0.0,6.67,1392.76,2054.15,2912.72,3147.59,1768.31,2197.01,3645.45,3832.23,192.6,244.27,2985.31,2543.64,992.63,1015.29,3568.31,2775.78
975.0,0.0,6.67,1473.6,2183.71,3769.61,4086.25,1949.12,2358.44,4632.75,4803.39,191.93,245.81,3818.23,3191.34,1035.08,1076.46,4462.94,3474.87
1000.0,0.0,0.0,1524.83,2297.1,4069.48,4404.28,1994.61,2390.59,4915.16,5097.68,174.21,255.04,4133.56,3388.54,1058.12,1111.11,4736.99,3670.04
1025.0,0.0,0.0,1587.42,2349.75,3829.12,4185.77,1898.91,2285.3,4416.44,4568.56,194.46,262.75,3960.46,3206.37,1031.51,1052.94,4351.79,3322.06
1050.0,0.0,0.0,1494.86,2241.48,2772.59,3083.48,1604.06,2009.85,3060.95,3188.23,183.14,254.19,3009.23,2412.62,943.87,975.94,3204.38,2411.87
1075.0,0.0,0.0,1392.55,2122.89,2323.74,2594.29,1481.75,1919.45,2569.82,2688.45,180.78,241.19,2544.15,2045.88,906.57,919.75,2709.97,2043.52
1100.0,200.0,0.0,1333.7,2063.38,2108.79,2335.37,1444.32,1884.18,2361.92,2461.72,186.86,235.74,2298.82,1866.96,884.55,899.8,2502.8,1861.0
1125.0,200.0,0.0,1743.34,2776.31,3416.02,3858.44,2229.06,2736.58,4196.26,4346.09,206.83,293.18,3339.7,2966.13,1143.35,1151.24,3749.89,3359.43
1150.0,200.0,0.0,2176.7,3819.16,3425.4,3897.62,2197.74,2694.74,4029.64,4194.95,249.91,366.3,3437.44,3010.88,1140.12,1150.64,3650.6,3299.56
1175.0,200.0,0.0,2348.51,4262.5,3419.24,3909.26,2211.07,2683.99,4008.53,4203.48,286.81,399.11,3440.97,3022.74,1145.17,1144.57,3646.66,3316.86
1200.0,0.0,0.0,2422.16,4458.51,3386.5,3866.26,2203.31,2670.39,3962.05,4168.43,323.62,437.26,3409.87,2992.45,1153.87,1157.93,3631.83,3288.92
1225.0,0.0,0.0,2340.82,4375.29,2952.19,3411.92,1936.36,2372.63,3338.25,3464.24,303.37,446.31,3037.39,2599.72,1065.09,1070.27,3051.24,2704.71
1250.0,0.0,0.0,1872.69,3421.0,2277.69,2602.04,1625.35,2050.84,2525.74,2654.73,274.42,393.13,2394.84,2028.43,956.36,975.15,2426.18,2034.55
1275.0,0.0,0.0,1578.03,2663.34,2001.41,2280.88,1527.2,1947.73,2234.41,2376.12,257.95,341.35,2133.18,1779.14,917.23,933.55,2226.38,1797.23
1300.0,333.33,0.0,1426.87,2306.21,1871.78,2121.45,1472.75,1918.06,2108.07,2236.85,230.45,320.33,2011.26,1665.97,901.54,914.9,2121.45,1704.86
1325.0,333.33,0.0,1904.67,3074.84,3504.19,3981.11,2310.9,2802.93,4327.69,4536.85,277.68,366.3,3486.99,3110.0,1182.29,1179.85,3903.91,3576.1
1350.0,333.33,0.0,2472.09,4401.24,3813.26,4366.22,2400.6,2870.79,4462.94,4711.59,341.0,465.71,3845.63,3388.83,1211.27,1226.22,4100.48,3740.36
1375.0,333.33,0.0,2702.88,4974.77,3892.59,4426.94,2427.94,2896.73,4495.69,4766.04,387.33,527.94,3964.27,3451.56,1207.79,1234.02,4168.11,3809.53
1400.0,0.0,0.0,2805.07,5229.41,3927.55,4509.04,2464.75,2933.65,4532.04,4787.72,409.32,584.34,4004.06,3514.29,1214.75,1273.39,4209.07,3804.26
1425.0,0.0,0.0,2710.23,5054.03,3302.16,3812.64,2108.79,2513.49,3590.51,3778.87,405.98,574.32,3426.28,2927.39,1099.67,1116.34,3336.23,2970.78
1450.0,0.0,0.0,2029.13,3804.57,2398.85,2761.18,1693.5,2077.85,2561.59,2730.25,338.04,466.25,2514.51,2101.63,973.78,996.37,2481.72,2081.65
1475.0,0.0,0.0,1756.83,2814.68,2037.38,2316.82,1528.29,1946.1,2213.74,2340.08,293.7,414.8,2174.29,1785.69,910.83,939.2,2198.71,1783.89
1500.0,533.33,0.0,1562.78,2345.28,1858.49,2122.41,1479.18,1895.91,2052.02,2191.69,275.62,356.86,2000.0,1656.67,904.64,917.43,2052.97,1659.99
1525.0,533.33,0.0,2107.36,3189.08,3846.57,4389.43,2496.69,3002.35,4774.2,5050.71,299.22,427.34,3878.47,3414.26,1208.0,1249.45,4362.52,3963.64
1550.0,533.33,0.0,2928.48,5027.88,4332.7,4959.46,2682.69,3153.78,5079.15,5400.81,417.8,573.6,4452.05,3925.97,1290.38,1326.39,4737.35,4330.7
1575.0,533.33,0.0,3257.67,5847.71,4441.52,5102.87,2719.18,3170.7,5138.6,5472.95,488.4,673.71,4605.27,4036.05,1300.56,1333.91,4846.32,4417.12
1600.0,0.0,0.0,3392.92,6193.56,4471.11,5112.16,2684.26,3139.72,5198.52,5508.89,506.69,732.63,4646.71,4073.02,1290.59,1340.4,4909.73,4471.79
1625.0,0.0,0.0,3253.66,5938.16,3674.91,4256.54,2242.95,2629.5,3932.29,4169.09,530.28,730.0,3862.5,3275.43,1167.05,1195.13,3688.62,3271.7
1650.0,0.0,0.0,2353.47,4294.36,2549.79,2943.18,1736.39,2123.6,2675.36,2841.2,411.27,575.42,2719.18,2238.07,985.55,1014.31,2577.53,2179.36
1675.0,0.0,0.0,1826.07,3057.62,2080.46,2413.63,1553.65,1942.62,2237.09,2390.34,345.7,463.75,2225.89,1840.66,923.83,937.64,2207.92,1826.53
1700.0,0.0,0.0,1593.11,2416.64,1884.41,2148.29,1479.61,1893.61,2074.05,2231.73,294.04,414.97,2030.78,1665.31,898.83,925.77,2039.27,1664.42
1725.0,0.0,0.0,1476.18,2144.93,1759.53,2015.25,1457.77,1858.49,1961.92,2080.22,288.36,372.77,1915.98,1584.15,882.43,898.06,1955.17,1590.7
1750.0,0.0,0.0,1391.7,1998.13,1686.61,1939.14,1425.17,1844.77,1887.85,2012.9,270.81,339.08,1834.73,1527.2,890.91,898.83,1890.16,1527.64
1775.0,0.0,0.0,1342.7,1891.54,1621.62,1870.86,1424.96,1825.16,1828.58,1951.91,275.28,318.94,1772.14,1477.68,868.57,885.13,1845.23,1470.6
1800.0,0.0,16.67,1291.83,1843.63,1587.86,1799.05,1371.67,1800.18,1780.72,1897.98,246.49,321.89,1749.86,1427.93,859.15,876.07,1796.56,1435.8
1825.0,0.0,16.67,1286.03,1825.85,1662.65,1882.57,1443.9,1882.8,2005.86,2153.58,244.78,304.06,1801.77,1519.42,874.14,900.38,2016.66,1611.51
1850.0,0.0,16.67,1515.11,2102.83,5652.31,6069.89,2503.31,2840.66,7482.36,7738.26,260.69,319.46,5396.57,4560.28,1168.27,1237.72,6692.02,5332.78
1875.0,0.0,16.67,1874.07,2588.36,6962.54,7474.9,2698.15,2977.36,8526.11,8830.45,271.67,355.11,6706.55,5489.34,1220.69,1309.92,7825.75,6081.24
1900.0,0.0,0.0,2038.8,2840.93,7170.64,7708.6,2723.39,2980.37,8567.54,8927.91,260.52,374.17,6985.98,5659.09,1228.28,1324.93,8029.76,6131.49
1925.0,0.0,0.0,2060.06,2918.69,6036.33,6576.73,2320.28,2579.34,6610.79,6831.95,265.84,381.89,6141.24,4863.92,1133.26,1198.6,6407.19,4833.41
1950.0,0.0,0.0,1749.63,2532.38,3536.62,3896.37,1723.62,2043.28,3639.39,3817.61,273.56,358.08,3819.47,2975.16,983.39,1029.73,3854.38,2848.45
1975.0,0.0,0.0,1525.91,2217.87,2657.86,2950.55,1550.61,1897.98,2783.22,2960.38,261.21,322.93,2898.62,2275.72,917.23,941.34,3006.75,2227.11
2000.0,0.0,10.0,1406.08,2052.97,2293.66,2547.74,1460.98,1848.42,2439.51,2600.75,259.66,319.81,2519.36,1994.14,896.13,940.17,2632.1,1953.54
2025.0,0.0,10.0,1324.51,1962.38,2198.46,2430.2,1463.54,1889.93,2438.25,2618.09,248.03,311.32,2397.59,1923.15,883.2,919.56,2632.62,1978.01
2050.0,0.0,10.0,1439.42,2097.35,4488.17,4814.1,2122.41,2477.41,5682.27,5917.92,247.51,306.65,4452.39,3680.69,1057.12,1131.64,5333.55,4152.44
2075.0,0.0,10.0,1599.02,2311.39,5337.38,5739.72,2269.84,2565.7,6455.09,6735.22,257.95,322.75,5284.34,4307.34,1113.32,1172.33,6088.82,4736.29
2100.0,0.0,0.0,1713.12,2461.72,5515.15,5953.47,2302.52,2594.29,6604.06,6852.73,263.09,330.56,5492.07,4435.41,1108.1,1191.05,6255.69,4780.96
2125.0,0.0,0.0,1725.64,2515.02,4833.41,5288.53,2051.08,2336.61,5444.95,5638.76,270.47,337.52,4986.46,3962.37,1055.73,1121.77,5350.41,4013.64
2150.0,0.0,0.0,1561.69,2302.52,3195.59,3517.26,1632.62,1975.91,3390.0,3560.22,251.28,313.22,3431.86,2690.28,946.41,973.19,3560.22,2646.66
2175.0,0.0,0.0,1424.11,2135.34,2537.24,2790.94,1485.62,1862.61,2710.23,2850.87,250.93,310.8,2766.75,2182.02,909.67,936.28,2909.19,2153.34
2200.0,0.0,6.67,1347.1,2019.01,2235.88,2473.1,1432.19,1839.98,2417.39,2563.65,247.69,294.04,2436.49,1940.99,872.22,901.54,2621.72,1935.2
2225.0,0.0,6.67,1313.88,1964.48,2063.62,2284.56,1395.72,1787.05,2266.17,2411.87,239.49,274.76,2261.27,1815.16,863.57,861.07,2442.79,1824.48
2250.0,0.0,6.67,1303.47,1979.88,2918.42,3137.47,1706.65,2097.58,3677.04,3884.12,248.54,290.08,3012.26,2514.77,963.79,997.55,3606.47,2811.74
2275.0,0.0,6.67,1396.77,2076.66,3794.65,4147.23,1917.83,2236.12,4654.39,4888.77,249.57,295.94,3871.89,3190.78,1030.72,1061.3,4512.81,3494.1
2300.0,0.0,0.0,1460.33,2165.85,4132.59,4476.57,1975.91,2291.69,5015.03,5229.03,252.64,294.39,4233.42,3422.47,1024.98,1081.85,4843.81,3720.1
2325.0,0.0,0.0,1489.7,2209.61,3871.27,4248.94,1848.19,2150.46,4494.67,4662.43,261.21,291.63,3983.02,3230.54,1000.5,1041.82,4412.05,3353.04
2350.0,0.0,0.0,1415.19,2112.37,2837.17,3138.03,1563.22,1907.67,3111.12,3278.01,252.82,303.54,3045.42,2404.6,926.36,955.39,3269.12,2418.9
2375.0,0.0,0.0,1339.77,2021.37,2368.39,2613.69,1456.92,1843.4,2612.65,2756.15,248.71,288.01,2582.43,2043.99,879.15,912.0,2794.94,2067.64
2400.0,200.0,0.0,1281.05,1943.78,2148.05,2359.69,1399.94,1806.53,2382.35,2504.07,246.32,294.73,2346.03,1849.11,854.55,904.64,2560.05,1875.91
2425.0,200.0,0.0,1701.3,2620.94,3428.92,3859.06,2157.67,2606.44,4237.05,4370.92,278.72,337.52,3349.85,2917.33,1104.48,1148.41,3755.43,3412.21
2450.0,200.0,0.0,2176.22,3644.54,3435.68,3931.34,2160.32,2561.85,4067.54,4258.53,345.18,420.62,3450.38,2995.75,1120.36,1138.71,3669.13,3340.57
2475.0,200.0,0.0,2353.47,4101.12,3459.81,3949.37,2154.06,2571.87,4046.96,4261.51,375.57,455.74,3481.08,3018.05,1113.32,1154.48,3683.13,3346.95
2500.0,0.0,0.0,2455.91,4363.87,3452.74,3933.55,2149.26,2586.55,4066.26,4236.72,403.33,504.18,3481.08,2998.22,1105.29,1156.1,3680.39,3351.88
2525.0,0.0,0.0,2398.09,4355.81,3018.05,3463.06,1925.93,2286.53,3355.07,3511.61,419.03,520.73,3064.28,2589.65,1033.1,1074.26,3063.45,2709.71
2550.0,0.0,0.0,1900.29,3419.83,2328.19,2661.51,1596.17,1983.85,2581.14,2705.24,361.23,452.36,2454.9,2028.43,913.16,956.17,2479.69,2073.81
2575.0,0.0,0.0,1591.58,2632.88,2039.74,2327.2,1489.7,1883.26,2286.28,2431.71,335.26,417.62,2179.12,1801.99,881.65,921.31,2271.8,1835.41
2600.0,333.33,0.0,1443.9,2293.41,1905.36,2184.43,1441.13,1838.38,2145.41,2285.3,311.32,362.1,2038.33,1698.18,870.3,891.88,2145.89,1728.1
2625.0,333.33,0.0,1882.8,3004.0,3506.56,3984.93,2251.0,2707.34,4408.67,4579.63,353.72,432.48,3480.48,3043.48,1131.64,1172.53,3924.39,3611.29
2650.0,333.33,0.0,2502.03,4396.51,3868.14,4431.34,2347.76,2800.8,4571.33,4829.12,448.98,539.86,3948.74,3421.88,1168.47,1216.59,4167.45,3807.36
2675.0,333.33,0.0,2771.26,5022.74,3914.3,4467.7,2360.18,2786.95,4590.71,4825.54,524.33,614.88,3961.42,3476.34,1191.05,1211.27,4186.1,3889.77
2700.0,0.0,0.0,2887.53,5349.26,4006.29,4518.3,2368.39,2814.68,4638.68,4882.28,549.99,676.12,4032.84,3508.34,1196.36,1239.57,4240.68,3923.76
2725.0,0.0,0.0,2813.88,5205.66,3360.3,3878.79,2048.71,2416.64,3673.39,3887.26,545.29,674.26,3491.44,2936.92,1085.85,1112.72,3369.02,3047.08
2750.0,0.0,0.0,2141.33,3904.54,2432.72,2799.47,1647.61,2018.78,2635.22,2788.01,466.07,554.52,2541.59,2111.18,964.18,985.55,2527.53,2132.94
2775.0,0.0,0.0,1704.19,2853.83,2060.77,2333.63,1482.18,1874.3,2243.19,2390.84,402.98,478.56,2194.11,1803.13,903.67,923.64,2239.78,1831.99
2800.0,533.33,0.0,1511.22,2369.39,1870.4,2146.85,1453.5,1838.15,2081.88,2223.95,365.95,437.8,2027.72,1672.84,896.9,908.32,2092.11,1701.74
2825.0,533.33,0.0,2018.54,3198.43,3853.75,4392.47,2386.85,2837.17,4827.33,5107.33,416.03,496.1,3902.03,3410.46,1170.1,1227.66,4397.53,4021.95
2850.0,533.33,0.0,2877.8,5135.99,4407.99,5017.6,2555.43,3000.97,5287.38,5551.28,567.96,680.76,4508.36,3933.87,1249.24,1297.03,4863.92,4473.5
2875.0,533.33,0.0,3266.25,5983.77,4496.04,5151.29,2581.14,3031.31,5277.88,5618.49,657.42,787.27,4654.39,4052.1,1274.43,1332.66,4934.01,4549.93
2900.0,0.0,0.0,3412.21,6325.23,4532.38,5194.38,2590.16,3020.81,5298.8,5622.06,696.94,857.81,4685.21,4082.05,1268.02,1317.21,4959.82,4561.66
2925.0,0.0,0.0,3261.96,6073.25,3737.9,4330.7,2172.12,2556.2,4034.13,4265.81,710.74,862.22,3912.41,3270.27,1123.78,1172.13,3745.27,3366.11
2950.0,0.0,0.0,2398.85,4392.47,2570.33,2981.2,1688.61,2053.68,2725.24,2914.89,550.72,670.56,2711.02,2217.87,959.1,1018.85,2629.24,2229.79
2975.0,0.0,0.0,1843.17,3084.31,2112.13,2430.96,1516.62,1896.6,2276.71,2426.68,457.52,563.78,2281.86,1830.17,892.27,939.2,2255.64,1852.54
3000.0,240.0,0.0,1567.79,2450.1,1919.91,2180.33,1439.64,1828.12,2088.78,2225.65,402.45,494.67,2061.25,1658.89,866.26,914.13,2094.96,1681.72
3025.0,240.0,0.0,1948.66,2996.85,3317.15,3789.39,2156.23,2590.42,4083.67,4307.34,452.71,535.34,3369.89,2901.6,1110.31,1159.14,3700.83,3366.69
3050.0,240.0,0.0,2412.62,4065.93,3481.37,3976.34,2159.11,2588.87,4068.83,4304.01,508.31,611.03,3596.83,3059.28,1111.31,1171.32,3728.08,3407.24
3075.0,240.0,0.0,2573.67,4472.48,3527.08,4031.88,2160.8,2584.23,4099.5,4328.69,553.62,650.58,3643.03,3129.61,1108.5,1174.36,3765.29,3464.53
3100.0,240.0,0.0,2670.39,4686.97,3522.02,4050.17,2182.5,2606.18,4119.59,4337.39,588.17,689.12,3638.18,3129.05,1134.27,1172.33,3771.46,3476.34
3125.0,0.0,0.0,2667.26,4729.22,3328.99,3822.89,2022.54,2437.5,3801.16,3967.76,583.61,698.8,3423.35,2900.79,1078.45,1120.97,3425.69,3125.68
3150.0,0.0,0.0,2148.78,3733.6,2405.1,2763.57,1618.32,2004.45,2618.87,2754.3,491.27,601.51,2544.15,2083.07,924.61,975.54,2489.33,2124.8
3175.0,0.0,0.0,1704.86,2728.14,2000.23,2308.43,1474.89,1858.49,2181.53,2324.73,428.58,507.41,2135.82,1741.55,888.6,918.2,2131.74,1775.53
3200.0,0.0,0.0,1488.62,2261.03,1802.22,2071.68,1430.27,1794.52,1999.53,2138.69,401.22,474.1,1941.46,1594.86,874.14,893.42,1980.81,1615.24
3225.0,520.0,0.0,1631.3,2377.12,2962.57,3348.11,2165.13,2631.06,3916.19,4233.42,409.68,470.35,3009.78,2695.0,1118.35,1143.56,3650.91,3339.41
3250.0,520.0,0.0,2589.91,4422.87,4283.06,4879.76,2473.35,2919.78,5129.28,5429.82,566.5,679.46,4387.07,3821.96,1226.43,1274.84,4739.11,4391.79
3275.0,520.0,0.0,3082.08,5508.49,4413.74,5052.18,2517.57,2953.83,5195.88,5503.8,677.79,801.5,4557.52,3975.07,1243.27,1298.27,4833.06,4486.12
3300.0,520.0,0.0,3292.66,5980.44,4450.01,5089.15,2526.76,2969.41,5193.25,5535.55,733.19,892.84,4617.43,4009.8,1250.69,1296.82,4878.31,4489.54
3325.0,520.0,0.0,3380.08,6178.21,4491.59,5128.16,2525.74,2963.39,5227.9,5558.76,773.47,943.29,4682.41,4038.62,1243.27,1294.95,4926.75,4505.28
3350.0,520.0,0.0,3443.32,6288.87,4483.39,5131.89,2554.92,2954.92,5204.53,5567.04,802.45,969.08,4675.74,4063.04,1251.1,1299.73,4903.58,4506.65
3375.0,520.0,0.0,3466.89,6329.57,4517.27,5173.37,2547.99,2976.81,5277.12,5616.9,823.19,993.22,4695.4,4067.54,1275.67,1309.09,4932.19,4556.14
3400.0,0.0,0.0,3495.29,6343.03,4511.44,5175.62,2560.82,2958.47,5212.82,5566.25,846.69,1017.27,4697.16,4083.02,1252.54,1303.47,4911.54,4516.59
3425.0,0.0,0.0,3022.74,5444.95,3215.75,3731.45,1939.6,2289.23,3371.35,3617.32,744.45,910.45,3402.56,2798.4,1038.45,1102.88,3193.89,2812.81
3450.0,0.0,0.0,2184.19,3826.32,2339.58,2705.5,1585.68,1940.99,2469.81,2652.39,586.71,714.29,2502.54,2036.67,926.36,958.12,2414.63,2037.38
3475.0,0.0,0.0,1721.84,2720.5,2015.96,2279.4,1465.47,1845.0,2146.37,2294.89,505.08,611.58,2144.45,1748.06,884.55,922.28,2118.58,1759.53
3500.0,506.67,0.0,1511.65,2263.72,1838.38,2104.73,1427.51,1824.71,2028.43,2180.57,449.33,548.54,1992.74,1605.81,872.22,918.59,2018.78,1660.66
3525.0,506.67,0.0,2455.15,3996.72,4154.73,4715.46,2411.62,2838.25,4947.81,5264.98,589.27,718.77,4268.46,3704.19,1184.94,1246.77,4557.86,4229.8
3550.0,506.67,0.0,3000.97,5222.24,4320.34,4960.19,2453.13,2878.34,5070.64,5386.16,705.7,872.8,4513.5,3899.82,1229.1,1289.34,4717.23,4374.62
3575.0,506.67,0.0,3212.34,5785.01,4423.89,5012.46,2485.27,2918.15,5126.67,5460.49,781.41,955.58,4591.74,3980.48,1226.63,1279.4,4809.46,4453.07
3600.0,506.67,0.0,3335.94,6005.42,4420.17,5079.15,2492.88,2906.48,5099.16,5476.46,809.86,1025.37,4664.53,3991.94,1230.74,1288.93,4844.16,4433.72
3625.0,0.0,0.0,3375.71,6046.8,4117.32,4750.44,2344.04,2717.07,4676.44,4952.54,830.82,1038.05,4354.47,3681.61,1173.96,1249.24,4324.68,3960.46
3650.0,0.0,0.0,2606.44,4615.7,2737.64,3169.29,1732.13,2075.0,2882.93,3088.49,692.84,844.78,2914.89,2359.93,982.21,1023.0,2750.06,2364.41
3675.0,0.0,0.0,1941.92,3190.49,2158.63,2472.59,1511.87,1876.59,2288.49,2451.87,553.98,694.14,2303.01,1872.23,911.22,934.52,2224.19,1871.32
3700.0,0.0,0.0,1591.8,2435.23,1887.62,2168.02,1420.5,1805.62,2088.54,2192.17,483.39,604.26,2050.37,1661.98,860.11,894.0,2043.52,1687.27
3725.0,506.67,0.0,1440.49,2096.39,1748.51,2006.57,1387.06,1771.69,1938.44,2079.27,433.54,550.54,1910.21,1554.95,844.2,874.53,1933.57,1572.15
3750.0,506.67,0.0,2047.53,3169.29,3872.83,4388.42,2326.21,2773.39,4800.9,5062.52,542.57,667.04,3965.54,3456.27,1152.86,1207.79,4375.29,4076.25
3775.0,506.67,0.0,2749.27,4714.41,4253.57,4885.52,2425.43,2855.44,5010.63,5347.72,693.77,842.29,4401.58,3835.03,1213.52,1252.95,4671.54,4340.73
